iter	Passed	Remaining
0	3	3605
1	6	3312
2	10	3556
3	13	3481
4	17	3431
5	20	3415
6	24	3409
7	28	3588
8	32	3574
9	35	3561
10	39	3534
11	43	3582
12	46	3532
13	49	3518
14	53	3493
15	57	3535
16	60	3514
17	64	3522
18	68	3523
19	72	3574
20	76	3547
21	79	3528
22	85	3612
23	88	3600
24	92	3596
25	96	3619
26	101	3668
27	106	3693
28	123	4147
29	132	4298
30	137	4301
31	141	4276
32	146	4290
33	150	4287
34	153	4243
35	157	4209
36	160	4185
37	164	4169
38	168	4142
39	171	4118
40	175	4094
41	179	4095
42	182	4064
43	185	4037
44	189	4012
45	193	4016
46	196	3992
47	200	3968
48	203	3942
49	207	3943
50	211	3936
51	214	3915
52	217	3891
53	223	3907
54	226	3887
55	229	3875
56	233	3863
57	238	3867
58	241	3847
59	244	3833
60	247	3815
61	252	3827
62	257	3828
63	260	3809
64	265	3823
65	269	3820
66	274	3817
67	278	3817
68	283	3826
69	287	3823
70	291	3815
71	298	3843
72	302	3846
73	306	3834
74	311	3846
75	315	3839
76	319	3831
77	323	3825
78	328	3829
79	332	3823
80	336	3815
81	340	3811
82	344	3802
83	347	3794
84	351	3786
85	355	3782
86	359	3772
87	363	3762
88	367	3760
89	372	3765
90	376	3761
91	380	3757
92	384	3750
93	388	3747
94	393	3751
95	397	3741
96	401	3738
97	405	3734
98	409	3725
99	412	3714
100	416	3710
101	421	3714
102	425	3704
103	428	3694
104	434	3700
105	439	3707
106	444	3710
107	449	3712
108	453	3708
109	459	3714
110	465	3729
111	470	3729
112	475	3733
113	480	3737
114	484	3728
115	488	3720
116	492	3719
117	496	3714
118	500	3708
119	504	3699
120	509	3698
121	512	3691
122	516	3681
123	519	3672
124	524	3672
125	528	3667
126	536	3687
127	543	3704
128	548	3704
129	553	3706
130	560	3716
131	565	3720
132	570	3719
133	576	3726
134	579	3714
135	583	3707
136	587	3698
137	591	3697
138	595	3686
139	599	3681
140	603	3675
141	607	3668
142	610	3660
143	615	3657
144	619	3653
145	622	3643
146	628	3646
147	633	3644
148	636	3637
149	640	3628
150	644	3624
151	648	3617
152	655	3626
153	659	3624
154	664	3620
155	667	3611
156	671	3604
157	676	3603
158	680	3598
159	683	3587
160	687	3583
161	691	3579
162	695	3570
163	698	3561
164	702	3555
165	706	3550
166	710	3543
167	713	3535
168	717	3529
169	721	3523
170	724	3514
171	728	3506
172	731	3498
173	735	3493
174	739	3484
175	742	3475
176	745	3467
177	750	3464
178	753	3455
179	756	3445
180	760	3440
181	764	3435
182	767	3426
183	772	3424
184	776	3420
185	781	3418
186	785	3413
187	788	3403
188	792	3398
189	796	3395
190	800	3388
191	803	3380
192	807	3378
193	811	3370
194	815	3365
195	818	3358
196	823	3355
197	826	3347
198	829	3340
199	832	3331
200	837	3329
201	841	3323
202	844	3316
203	848	3308
204	852	3305
205	856	3300
206	859	3291
207	862	3284
208	867	3282
209	871	3278
210	874	3270
211	878	3264
212	882	3261
213	886	3255
214	889	3248
215	893	3242
216	897	3238
217	901	3234
218	905	3228
219	909	3223
220	913	3221
221	916	3213
222	920	3206
223	923	3199
224	928	3198
225	932	3192
226	935	3185
227	940	3183
228	944	3179
229	948	3174
230	952	3169
231	957	3168
232	960	3163
233	964	3155
234	967	3148
235	971	3144
236	974	3137
237	978	3132
238	981	3126
239	986	3122
240	989	3115
241	992	3108
242	995	3101
243	999	3097
244	1003	3091
245	1007	3086
246	1010	3080
247	1014	3075
248	1018	3070
249	1021	3064
250	1024	3057
251	1028	3053
252	1032	3049
253	1036	3043
254	1039	3036
255	1043	3032
256	1047	3029
257	1051	3023
258	1054	3017
259	1058	3012
260	1063	3010
261	1066	3003
262	1069	2997
263	1073	2992
264	1078	2991
265	1082	2986
266	1085	2981
267	1090	2978
268	1094	2975
269	1098	2969
270	1101	2963
271	1106	2961
272	1110	2957
273	1115	2955
274	1121	2956
275	1124	2950
276	1128	2944
277	1131	2938
278	1137	2938
279	1154	2969
280	1161	2972
281	1166	2969
282	1169	2962
283	1173	2957
284	1176	2951
285	1180	2948
286	1184	2943
287	1188	2939
288	1192	2933
289	1197	2931
290	1201	2927
291	1204	2920
292	1207	2914
293	1212	2910
294	1215	2905
295	1218	2898
296	1222	2892
297	1226	2888
298	1229	2883
299	1233	2877
300	1236	2871
301	1240	2867
302	1244	2862
303	1247	2856
304	1251	2851
305	1255	2847
306	1258	2841
307	1263	2838
308	1266	2832
309	1270	2828
310	1274	2824
311	1278	2819
312	1282	2815
313	1286	2811
314	1290	2806
315	1294	2801
316	1298	2798
317	1302	2794
318	1306	2788
319	1309	2783
320	1313	2779
321	1318	2775
322	1322	2771
323	1326	2767
324	1331	2765
325	1335	2761
326	1338	2755
327	1342	2751
328	1347	2747
329	1350	2742
330	1354	2736
331	1358	2732
332	1362	2728
333	1365	2723
334	1369	2717
335	1373	2713
336	1377	2709
337	1380	2704
338	1383	2698
339	1387	2694
340	1391	2690
341	1395	2685
342	1399	2679
343	1402	2675
344	1406	2671
345	1410	2665
346	1413	2660
347	1417	2655
348	1421	2652
349	1425	2646
350	1429	2643
351	1434	2640
352	1437	2635
353	1441	2629
354	1445	2625
355	1449	2622
356	1454	2620
357	1458	2616
358	1464	2614
359	1468	2611
360	1473	2607
361	1478	2605
362	1483	2602
363	1487	2598
364	1490	2593
365	1495	2590
366	1500	2588
367	1505	2584
368	1509	2582
369	1513	2577
370	1517	2572
371	1520	2567
372	1524	2562
373	1528	2557
374	1531	2552
375	1534	2546
376	1538	2542
377	1542	2537
378	1545	2531
379	1548	2526
380	1552	2522
381	1556	2517
382	1560	2513
383	1563	2507
384	1567	2503
385	1570	2498
386	1573	2492
387	1576	2487
388	1579	2481
389	1583	2476
390	1586	2471
391	1590	2466
392	1593	2461
393	1598	2458
394	1601	2453
395	1604	2447
396	1608	2442
397	1613	2440
398	1653	2490
399	1676	2515
400	1694	2530
401	1700	2529
402	1704	2524
403	1709	2521
404	1713	2517
405	1717	2512
406	1724	2512
407	1735	2518
408	1742	2517
409	1748	2515
410	1752	2511
411	1756	2507
412	1760	2502
413	1763	2496
414	1767	2491
415	1771	2486
